EMPGROUP,EMPCAT,SUB03,SUB08,SUB11,BASE08,BASE11
RETEMP,RETL,1,0,0,0,0
RETEMP,FOOD,1,0,0,0,0
INDEMP,MANU,1,0,0,0,0
INDEMP,WSLE,1,0,0,0,0
OTHEMP,OFFI,1,0,0,0,0
OTHEMP,GVED,1,0,0,0,0
OTHEMP,OTHR,1,0,0,0,0
OTHEMP,HLTH,1,0,0,0,0
TOTEMP,RETL,0,1,0,0,0
TOTEMP,FOOD,0,1,0,0,0
TOTEMP,MANU,0,1,0,0,0
TOTEMP,WSLE,0,1,0,0,0
TOTEMP,OFFI,0,1,0,0,0
TOTEMP,GVED,0,1,0,0,0
TOTEMP,OTHR,0,1,0,0,0
TOTEMP,HLTH,0,1,0,0,0
ALLEMP,RETL,0,0,1,0,0
ALLEMP,FOOD,0,0,1,0,0
ALLEMP,MANU,0,0,1,0,0
ALLEMP,WSLE,0,0,1,0,0
ALLEMP,OFFI,0,0,1,0,0
ALLEMP,GVED,0,0,1,0,0
ALLEMP,OTHR,0,0,1,0,0
ALLEMP,HLTH,0,0,1,0,0
ALLEMP,FM_AGRI,0,0,1,0,0
ALLEMP,FM_CONS,0,0,1,0,0
ALLEMP,FM_MING,0,0,1,0,0
RETL,RETL,0,0,0,1,1
FOOD,FOOD,0,0,0,1,1
MANU,MANU,0,0,0,1,1
WSLE,WSLE,0,0,0,1,1
OFFI,OFFI,0,0,0,1,1
GVED,GVED,0,0,0,1,1
OTHR,OTHR,0,0,0,1,1
HLTH,HLTH,0,0,0,1,1
FM_AGRI,FM_AGRI,0,0,0,0,1
FM_CONS,FM_CONS,0,0,0,0,1
FM_MING,FM_MING,0,0,0,0,1
