;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,11.6,64.0,5.517241379310345,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.6,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,12.5,53.20000000000001,4.256000000000001,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.6,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,2.9,9.8,3.3793103448275867,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,50.1,153.6,3.0658682634730536,2.3,0.0,0.0,2.3,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,5.5,2.6,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,3.9,12.800000000000002,3.282051282051283,4.8,0.0,4.8,0.0,5.8,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.20000000000000004,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,43.29999999999999,129.0,2.9792147806004627,26.0,1.5,16.8,7.7,118.60000000000001,1.5,0.0,0.0,16.8,0.0,0.0,0.0,7.7,85.7,0.0,4.7,2.2,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,41.4,138.8,3.352657004830918,45.8,15.0,0.0,30.8,52.60000000000001,15.0,0.0,0.0,0.0,28.2,0.0,0.0,2.6,0.0,0.0,4.7,2.1,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,10.6,11.800000000000002,1.1132075471698115,55.20000000000001,0.0,55.20000000000001,0.0,57.30000000000001,0.0,0.0,0.0,55.20000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.5,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,16.4,56.1,3.4207317073170738,57.6,0.0,57.6,0.0,60.699999999999996,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.8000000000000002,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,2.9,8.9,3.0689655172413794,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,12.5,44.29999999999999,3.543999999999999,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.6,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,3.0,3.0,193.70000000000005,0.0,183.40000000000003,10.3,216.30000000000004,0.0,0.0,93.40000000000002,90.0,0.0,0.0,0.0,10.3,19.5,0.0,3.1,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,1.0,3.0,3.0,73.2,0.0,47.6,25.600000000000005,74.8,0.0,0.0,2.0,45.6,0.0,0.0,0.0,25.600000000000005,0.0,0.0,1.6000000000000003,0.0,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,3.9,21.7,5.564102564102564,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.20000000000000004,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,531.9,0.0,531.9,0.0,539.6999999999999,0.0,0.0,398.8,133.1,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,154.0,555.3,3.6058441558441556,19.5,13.5,6.0,0.0,43.0,13.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,7.900000000000001,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,133.8,360.3999999999999,2.6935724962630783,39.9,10.5,1.2,28.2,60.8,10.5,0.0,0.0,1.2,0.0,0.0,0.0,28.2,0.0,0.0,14.0,6.900000000000001,79483.0,0.0,0.0,0.0,3,BOX ELDER
21,30021,0.0,0.0,0.0,352.5,0.0,352.5,0.0,358.0,0.0,0.0,328.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,68948.0,0.0,0.0,0.0,3,BOX ELDER
22,30022,1.8999999999999997,5.900000000000001,3.105263157894738,8.0,0.0,8.0,0.0,8.1,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,68948.0,0.0,0.0,0.0,3,BOX ELDER
23,30023,3.9,17.7,4.538461538461538,33.900000000000006,0.0,33.900000000000006,0.0,34.900000000000006,0.0,0.0,17.1,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.20000000000000004,68948.0,0.0,0.0,0.0,3,BOX ELDER
24,30024,86.59999999999998,361.3999999999999,4.173210161662817,1.1,0.0,0.0,1.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,8.6,4.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
25,30025,280.1,844.7999999999998,3.0160656908247048,133.20000000000002,4.5,1.2,127.50000000000001,178.00000000000003,4.5,0.0,0.0,1.2,0.0,108.90000000000002,13.5,5.1,0.0,0.0,30.399999999999995,14.4,61738.0,0.0,0.0,0.0,3,BOX ELDER
26,30026,180.0,378.1000000000001,2.100555555555556,182.6,15.0,23.0,144.6,212.79999999999998,15.0,0.0,11.0,12.0,0.0,49.4,72.1,23.100000000000005,0.0,0.0,21.0,9.2,54266.0,0.0,0.0,0.0,3,BOX ELDER
27,30027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
28,30028,3.9,7.900000000000001,2.025641025641026,66.3,0.0,66.3,0.0,68.1,0.0,0.0,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.20000000000000004,71342.0,0.0,0.0,0.0,3,BOX ELDER
29,30029,136.7,408.6000000000001,2.9890270665691303,1.2,0.0,1.2,0.0,22.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
30,30030,304.2,844.7999999999998,2.7771203155818536,91.3,12.0,4.8,74.5,138.9,12.0,0.0,0.0,4.8,32.6,0.0,31.600000000000005,10.3,0.0,0.0,32.0,15.6,50633.0,0.0,0.0,0.0,3,BOX ELDER
31,30031,186.80000000000004,498.2,2.667023554603854,197.29999999999998,61.0,62.29999999999999,74.0,228.7,4.5,56.5,62.29999999999999,0.0,30.399999999999995,0.0,0.0,43.6,0.0,0.0,21.8,9.6,48874.0,0.0,0.0,0.0,3,BOX ELDER
32,30032,103.0,332.8,3.231067961165049,1.2,0.0,1.2,0.0,16.599999999999998,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,10.1,5.3,54597.0,0.0,0.0,0.0,3,BOX ELDER
33,30033,130.9,468.7,3.5805958747135214,8.4,0.0,8.4,0.0,28.299999999999997,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,13.199999999999998,6.7,47880.0,0.0,0.0,0.0,3,BOX ELDER
34,30034,170.4,508.1000000000001,2.9818075117370895,17.9,1.5,12.1,4.3,44.5,1.5,0.0,12.1,0.0,4.3,0.0,0.0,0.0,0.0,0.0,17.9,8.7,72580.0,0.0,0.0,0.0,3,BOX ELDER
35,30035,252.19999999999996,735.5,2.9163362410785094,0.0,0.0,0.0,0.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,12.9,69784.0,0.0,0.0,0.0,3,BOX ELDER
