file_index,model,transit_scenario,filename,file_path,num_routes
0,WF-TDM-v9x,Lin_2019,mag_brt_2019.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\mag_brt_2019.lin,1
1,WF-TDM-v9x,Lin_2019,mag_exp_2019.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\mag_exp_2019.lin,1
2,WF-TDM-v9x,Lin_2019,mag_lcl_2019.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\mag_lcl_2019.lin,4
4,WF-TDM-v9x,Lin_2019,wfrc_og_lcl_2019.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_og_lcl_2019.lin,5
6,WF-TDM-v9x,Lin_2019,wfrc_sl_exp_2019.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_sl_exp_2019.lin,11
7,WF-TDM-v9x,Lin_2019,wfrc_sl_lcl_2019.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_sl_lcl_2019.lin,39
8,WF-TDM-v9x,Lin_2023,mag_brt_2023.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\mag_brt_2023.lin,1
9,WF-TDM-v9x,Lin_2023,mag_exp_2023.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\mag_exp_2023.lin,1
10,WF-TDM-v9x,Lin_2023,mag_lcl_2023.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\mag_lcl_2023.lin,4
13,WF-TDM-v9x,Lin_2023,wfrc_og_lcl_2023.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_og_lcl_2023.lin,3
14,WF-TDM-v9x,Lin_2023,wfrc_sl_exp_2023.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_sl_exp_2023.lin,3
15,WF-TDM-v9x,Lin_2023,wfrc_sl_lcl_2023.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_sl_lcl_2023.lin,34
16,WF-TDM-v9x,Lin_2028,mag_brt_2028.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\mag_brt_2028.lin,1
17,WF-TDM-v9x,Lin_2028,mag_exp_2028.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\mag_exp_2028.lin,1
18,WF-TDM-v9x,Lin_2028,mag_lcl_2028.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\mag_lcl_2028.lin,5
22,WF-TDM-v9x,Lin_2028,wfrc_og_lcl_2028.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_og_lcl_2028.lin,5
23,WF-TDM-v9x,Lin_2028,wfrc_sl_exp_2028.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_sl_exp_2028.lin,3
24,WF-TDM-v9x,Lin_2028,wfrc_sl_lcl_2028.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_sl_lcl_2028.lin,36
26,WF-TDM-v9x,Lin_2032,mag_lcl_2032.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\mag_lcl_2032.lin,4
28,WF-TDM-v9x,Lin_2032,wfrc_brt_2032.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_brt_2032.lin,1
29,WF-TDM-v9x,Lin_2032,wfrc_core_2032.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_core_2032.lin,1
30,WF-TDM-v9x,Lin_2032,wfrc_og_lcl_2032.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_og_lcl_2032.lin,5
31,WF-TDM-v9x,Lin_2032,wfrc_sl_exp_2032.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_sl_exp_2032.lin,2
32,WF-TDM-v9x,Lin_2032,wfrc_sl_lcl_2032.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_sl_lcl_2032.lin,16
34,WF-TDM-v9x,Lin_2032_Needs,mag_lcl_2032UF.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\mag_lcl_2032UF.lin,4
36,WF-TDM-v9x,Lin_2032_Needs,wfrc_brt_2032UF.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_brt_2032UF.lin,1
37,WF-TDM-v9x,Lin_2032_Needs,wfrc_core_2032UF.lin,E:\GitHub\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_core_2032UF.lin,1
